HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,season
Fulham,Arsenal,6.0,4.33,1.53,1.72,2020-21
Crystal Palace,Southampton,3.1,3.25,2.37,2.2,2020-21
Liverpool,Leeds,1.28,6.0,9.5,1.53,2020-21
West Ham,Newcastle,2.15,3.4,3.4,1.9,2020-21
West Brom,Leicester,3.8,3.6,1.95,1.9,2020-21
Spurs,Everton,1.83,3.6,4.33,1.9,2020-21
Brighton,Chelsea,5.0,4.33,1.61,1.72,2020-21
Sheffield Utd,Wolves,3.25,3.1,2.37,2.62,2020-21
Everton,West Brom,1.5,4.2,6.5,1.87,2020-21
Leeds,Fulham,1.61,3.9,5.75,1.97,2020-21
Man Utd,Crystal Palace,1.3,5.5,9.5,1.66,2020-21
Arsenal,West Ham,1.53,4.5,5.5,1.66,2020-21
Southampton,Spurs,3.0,3.3,2.37,2.02,2020-21
Newcastle,Brighton,2.6,3.1,2.87,2.37,2020-21
Chelsea,Liverpool,3.1,3.6,2.2,1.61,2020-21
Leicester,Burnley,1.61,4.0,5.5,1.9,2020-21
Aston Villa,Sheffield Utd,2.7,3.1,2.75,2.2,2020-21
Wolves,Man City,6.5,4.33,1.5,1.72,2020-21
Brighton,Man Utd,4.75,3.75,1.72,1.9,2020-21
Crystal Palace,Everton,3.75,3.25,2.1,2.1,2020-21
West Brom,Chelsea,9.0,4.75,1.36,1.66,2020-21
Burnley,Southampton,3.2,3.3,2.3,2.1,2020-21
Sheffield Utd,Leeds,2.7,3.3,2.62,1.9,2020-21
Spurs,Newcastle,1.45,4.5,7.0,1.72,2020-21
Man City,Leicester,1.28,6.0,9.5,1.4,2020-21
West Ham,Wolves,3.6,3.5,2.05,2.1,2020-21
Fulham,Aston Villa,2.9,3.25,2.5,2.0,2020-21
Liverpool,Arsenal,1.45,4.75,6.5,1.53,2020-21
Chelsea,Crystal Palace,1.4,4.75,8.0,1.61,2020-21
Everton,Brighton,1.72,3.75,4.8,1.8,2020-21
Leeds,Man City,7.5,5.25,1.36,1.36,2020-21
Newcastle,Burnley,2.4,3.2,3.1,2.3,2020-21
Leicester,West Ham,1.61,4.2,5.25,1.66,2020-21
Southampton,West Brom,1.72,3.8,4.75,1.8,2020-21
Arsenal,Sheffield Utd,1.57,4.0,6.0,1.9,2020-21
Wolves,Fulham,1.5,4.0,7.5,2.1,2020-21
Man Utd,Spurs,1.85,3.8,4.0,1.72,2020-21
Aston Villa,Liverpool,10.0,5.5,1.3,1.53,2020-21
Everton,Liverpool,3.75,4.2,1.83,1.53,2020-21
Chelsea,Southampton,1.45,4.75,6.5,1.57,2020-21
Man City,Arsenal,1.44,5.0,6.5,1.44,2020-21
Newcastle,Man Utd,4.75,4.0,1.66,1.72,2020-21
Sheffield Utd,Fulham,2.1,3.3,3.7,2.2,2020-21
Crystal Palace,Brighton,2.62,3.3,2.7,2.2,2020-21
Spurs,West Ham,1.57,4.33,5.5,1.57,2020-21
Leicester,Aston Villa,1.83,3.8,4.1,1.66,2020-21
West Brom,Burnley,2.45,3.3,2.9,2.1,2020-21
Leeds,Wolves,2.5,3.3,2.87,2.1,2020-21
Aston Villa,Leeds,2.05,3.75,3.3,1.57,2020-21
West Ham,Man City,8.0,5.25,1.36,1.4,2020-21
Fulham,Crystal Palace,2.75,3.1,2.7,2.3,2020-21
Man Utd,Chelsea,2.37,3.6,2.8,1.61,2020-21
Liverpool,Sheffield Utd,1.22,6.5,12.0,1.5,2020-21
Southampton,Everton,2.75,3.4,2.55,1.8,2020-21
Wolves,Newcastle,1.75,3.5,5.25,2.2,2020-21
Arsenal,Leicester,1.9,3.75,3.8,1.72,2020-21
Brighton,West Brom,1.7,4.0,4.75,1.8,2020-21
Burnley,Spurs,5.75,4.0,1.6,1.9,2020-21
Wolves,Crystal Palace,2.0,3.2,4.33,2.75,2020-21
Sheffield Utd,Man City,9.5,6.0,1.28,1.5,2020-21
Burnley,Chelsea,6.0,4.5,1.5,1.66,2020-21
Liverpool,West Ham,1.36,5.25,7.5,1.4,2020-21
Aston Villa,Southampton,2.45,3.5,2.8,1.66,2020-21
Newcastle,Everton,3.7,3.4,2.05,1.8,2020-21
Man Utd,Arsenal,2.0,3.6,3.6,1.72,2020-21
Spurs,Brighton,1.61,4.0,5.5,1.66,2020-21
Fulham,West Brom,2.4,3.3,3.0,2.0,2020-21
Leeds,Leicester,2.5,3.6,2.62,1.72,2020-21
Brighton,Burnley,1.85,3.5,4.33,2.1,2020-21
Southampton,Newcastle,2.0,3.6,3.7,1.8,2020-21
Everton,Man Utd,2.9,3.5,2.37,1.72,2020-21
Crystal Palace,Leeds,2.87,3.4,2.45,1.9,2020-21
Chelsea,Sheffield Utd,1.36,5.0,8.5,1.72,2020-21
West Ham,Fulham,1.83,3.75,4.2,1.8,2020-21
West Brom,Spurs,7.0,4.33,1.45,1.72,2020-21
Leicester,Wolves,2.3,3.2,3.25,2.3,2020-21
Man City,Liverpool,1.95,4.2,3.4,1.44,2020-21
Arsenal,Aston Villa,1.65,4.1,5.0,1.66,2020-21
Newcastle,Chelsea,6.5,4.75,1.45,1.66,2020-21
Aston Villa,Brighton,2.15,3.6,3.2,1.72,2020-21
Spurs,Man City,4.0,4.0,1.8,1.57,2020-21
Man Utd,West Brom,1.3,5.5,9.5,1.66,2020-21
Fulham,Everton,3.9,3.9,1.85,1.72,2020-21
Sheffield Utd,West Ham,3.0,3.25,2.4,2.1,2020-21
Leeds,Arsenal,3.0,3.75,2.2,1.66,2020-21
Liverpool,Leicester,1.85,4.0,3.8,1.57,2020-21
Burnley,Crystal Palace,2.75,3.1,2.75,2.5,2020-21
Wolves,Southampton,2.3,3.25,3.25,2.2,2020-21
Crystal Palace,Newcastle,2.05,3.25,3.75,2.37,2020-21
Brighton,Liverpool,5.5,4.2,1.57,1.57,2020-21
Man City,Burnley,1.16,7.5,16.0,1.44,2020-21
Everton,Leeds,1.95,3.8,3.6,1.61,2020-21
West Brom,Sheffield Utd,2.6,3.2,2.8,2.3,2020-21
Southampton,Man Utd,4.0,3.5,1.95,1.8,2020-21
Chelsea,Spurs,2.05,3.5,3.6,1.72,2020-21
Arsenal,Wolves,2.05,3.4,3.75,2.3,2020-21
Leicester,Fulham,1.5,4.33,6.5,1.72,2020-21
West Ham,Aston Villa,2.25,3.6,3.0,1.72,2020-21
Burnley,Everton,4.0,3.5,1.9,2.0,2020-21
Man City,Fulham,1.1,11.0,19.0,1.3,2020-21
West Ham,Man Utd,3.6,3.6,2.0,1.72,2020-21
Chelsea,Leeds,1.5,4.5,6.0,1.5,2020-21
West Brom,Crystal Palace,2.87,3.2,2.55,2.2,2020-21
Sheffield Utd,Leicester,3.8,3.5,1.95,2.0,2020-21
Spurs,Arsenal,1.95,3.6,3.8,1.9,2020-21
Liverpool,Wolves,1.5,4.33,6.5,1.72,2020-21
Brighton,Southampton,2.45,3.4,2.9,1.9,2020-21
Leeds,West Ham,2.15,3.7,3.1,1.57,2020-21
Wolves,Aston Villa,2.25,3.25,3.25,2.0,2020-21
Newcastle,West Brom,2.45,3.2,3.0,2.2,2020-21
Man Utd,Man City,4.33,4.2,1.72,1.61,2020-21
Everton,Chelsea,4.33,4.2,1.7,1.61,2020-21
Southampton,Sheffield Utd,1.7,3.75,5.0,2.01,2020-21
Crystal Palace,Spurs,4.5,3.9,1.72,1.9,2020-21
Fulham,Liverpool,9.0,5.5,1.3,1.4,2020-21
Arsenal,Burnley,1.53,4.2,6.25,1.9,2020-21
Leicester,Brighton,2.0,3.5,3.8,1.9,2020-21
Wolves,Chelsea,5.25,3.8,1.66,2.0,2020-21
Man City,West Brom,1.09,11.0,21.0,1.36,2020-21
Arsenal,Southampton,2.25,3.5,3.1,1.8,2020-21
Leeds,Newcastle,1.75,4.0,4.33,1.72,2020-21
Leicester,Everton,2.15,3.6,3.25,1.72,2020-21
Fulham,Brighton,2.87,3.3,2.5,2.0,2020-21
Liverpool,Spurs,1.75,3.8,4.5,1.66,2020-21
West Ham,Crystal Palace,2.05,3.4,3.6,1.9,2020-21
Aston Villa,Burnley,1.75,3.8,4.5,1.9,2020-21
Sheffield Utd,Man Utd,7.0,4.6,1.44,1.8,2020-21
Crystal Palace,Liverpool,6.5,4.33,1.5,1.61,2020-21
Southampton,Man City,7.0,4.5,1.44,1.57,2020-21
Everton,Arsenal,2.45,3.5,2.8,1.8,2020-21
Newcastle,Fulham,2.5,3.25,2.9,2.1,2020-21
Brighton,Sheffield Utd,1.65,3.75,5.5,2.2,2020-21
Spurs,Leicester,2.05,3.5,3.6,1.8,2020-21
Man Utd,Leeds,1.66,4.33,4.5,1.5,2020-21
West Brom,Aston Villa,3.6,3.8,1.95,1.72,2020-21
Burnley,Wolves,3.5,3.25,2.2,2.5,2020-21
Chelsea,West Ham,1.44,5.0,6.25,1.57,2020-21
Leicester,Man Utd,2.9,3.6,2.3,1.66,2020-21
Aston Villa,Crystal Palace,1.9,3.75,3.8,1.72,2020-21
Fulham,Southampton,3.2,3.3,2.3,1.9,2020-21
Arsenal,Chelsea,4.0,3.6,1.9,1.95,2020-21
Man City,Newcastle,1.11,10.0,19.0,1.36,2020-21
Sheffield Utd,Everton,4.2,3.6,1.85,2.01,2020-21
Leeds,Burnley,1.72,4.0,4.33,1.57,2020-21
West Ham,Brighton,2.3,3.4,3.1,1.99,2020-21
Liverpool,West Brom,1.11,10.0,19.0,1.36,2020-21
Wolves,Spurs,3.6,3.25,2.15,2.2,2020-21
Crystal Palace,Leicester,3.75,3.5,2.0,1.9,2020-21
Chelsea,Aston Villa,1.61,4.2,5.0,1.53,2020-21
Brighton,Arsenal,3.25,3.5,2.2,2.0,2020-21
Burnley,Sheffield Utd,2.37,3.1,3.25,2.37,2020-21
Southampton,West Ham,2.1,3.6,3.4,1.94,2020-21
West Brom,Leeds,3.6,3.6,2.0,1.57,2020-21
Man Utd,Wolves,1.53,4.2,6.25,1.96,2020-21
Newcastle,Liverpool,12.0,6.0,1.25,1.5,2020-21
Everton,West Ham,2.1,3.5,3.5,1.9,2020-21
Man Utd,Aston Villa,1.72,4.2,4.2,1.53,2020-21
Spurs,Leeds,1.75,4.1,4.2,1.44,2020-21
Crystal Palace,Sheffield Utd,1.95,3.5,3.9,2.3,2020-21
Brighton,Wolves,2.62,3.25,2.75,2.5,2020-21
West Brom,Arsenal,5.75,4.0,1.57,1.9,2020-21
Newcastle,Leicester,5.25,4.2,1.61,1.9,2020-21
Chelsea,Man City,3.0,3.7,2.2,1.72,2020-21
Southampton,Liverpool,5.0,4.33,1.61,1.61,2020-21
Sheffield Utd,Newcastle,2.45,3.1,3.1,2.5,2020-21
Burnley,Man Utd,7.0,4.5,1.45,1.72,2020-21
Wolves,Everton,2.45,3.1,3.1,2.37,2020-21
Man City,Brighton,1.14,8.5,16.0,1.5,2020-21
Spurs,Fulham,1.36,5.0,8.5,1.66,2020-21
Arsenal,Crystal Palace,1.53,4.0,6.5,1.9,2020-21
Wolves,West Brom,1.6,3.5,7.0,2.3,2020-21
Leeds,Brighton,2.1,3.5,3.4,1.61,2020-21
West Ham,Burnley,1.8,3.5,4.75,2.1,2020-21
Fulham,Chelsea,6.5,4.33,1.5,1.8,2020-21
Leicester,Southampton,1.8,3.75,4.5,1.9,2020-21
Sheffield Utd,Spurs,6.25,3.75,1.6,2.0,2020-21
Liverpool,Man Utd,1.95,3.8,3.6,1.66,2020-21
Man City,Crystal Palace,1.14,8.5,17.0,1.5,2020-21
Arsenal,Newcastle,1.4,4.5,8.0,1.8,2020-21
West Ham,West Brom,1.57,4.2,5.5,1.9,2020-21
Leicester,Chelsea,2.87,3.4,2.45,1.9,2020-21
Man City,Aston Villa,1.22,6.5,12.0,1.44,2020-21
Fulham,Man Utd,6.0,4.33,1.53,1.72,2020-21
Liverpool,Burnley,1.18,7.5,15.0,1.53,2020-21
Aston Villa,Newcastle,1.45,4.75,6.5,1.66,2020-21
Crystal Palace,West Ham,3.1,3.25,2.37,2.2,2020-21
Newcastle,Leeds,3.9,3.8,1.85,1.66,2020-21
Southampton,Arsenal,3.5,3.6,2.05,1.8,2020-21
West Brom,Man City,15.0,7.5,1.18,1.57,2020-21
Burnley,Aston Villa,3.8,3.5,1.95,1.9,2020-21
Chelsea,Wolves,1.6,4.2,5.25,1.9,2020-21
Brighton,Fulham,2.05,3.4,3.75,2.2,2020-21
Everton,Leicester,2.8,3.3,2.55,2.0,2020-21
Man Utd,Sheffield Utd,1.25,6.0,11.0,1.66,2020-21
Spurs,Liverpool,3.2,3.6,2.2,1.8,2020-21
Everton,Newcastle,1.55,4.0,6.5,2.0,2020-21
Crystal Palace,Wolves,2.87,3.2,2.55,2.5,2020-21
Man City,Sheffield Utd,1.12,9.0,18.0,1.5,2020-21
West Brom,Fulham,3.3,3.2,2.3,2.2,2020-21
Arsenal,Man Utd,2.8,3.5,2.45,1.8,2020-21
Southampton,Aston Villa,2.8,3.6,2.37,1.72,2020-21
Chelsea,Burnley,1.33,5.0,9.5,1.72,2020-21
Leicester,Leeds,1.8,4.0,4.2,1.57,2020-21
West Ham,Liverpool,4.33,4.0,1.75,1.66,2020-21
Brighton,Spurs,3.2,3.4,2.25,2.08,2020-21
Sheffield Utd,West Brom,2.0,3.3,4.0,2.3,2020-21
Wolves,Arsenal,3.6,3.3,2.1,2.3,2020-21
Man Utd,Southampton,1.4,4.75,7.0,1.53,2020-21
Newcastle,Crystal Palace,2.8,3.2,2.6,2.3,2020-21
Burnley,Man City,13.0,7.0,1.2,1.66,2020-21
Fulham,Leicester,4.0,3.5,1.9,2.0,2020-21
Leeds,Everton,2.5,3.5,2.7,1.66,2020-21
Aston Villa,West Ham,2.2,3.4,3.25,1.72,2020-21
Liverpool,Brighton,1.33,5.25,9.0,1.66,2020-21
Spurs,Chelsea,3.5,3.4,2.1,1.9,2020-21
Aston Villa,Arsenal,2.62,3.5,2.6,1.66,2020-21
Burnley,Brighton,3.6,3.1,2.2,2.5,2020-21
Newcastle,Southampton,3.0,3.3,2.4,2.0,2020-21
Fulham,West Ham,3.6,3.5,2.05,2.0,2020-21
Man Utd,Everton,1.53,4.2,6.0,1.66,2020-21
Spurs,West Brom,1.45,4.5,7.0,1.72,2020-21
Wolves,Leicester,3.5,3.4,2.1,2.2,2020-21
Liverpool,Man City,3.4,3.6,2.05,1.72,2020-21
Sheffield Utd,Chelsea,7.0,4.5,1.45,1.9,2020-21
Leeds,Crystal Palace,1.8,3.8,4.2,1.61,2020-21
Leicester,Liverpool,3.5,3.4,2.1,1.72,2020-21
Crystal Palace,Burnley,2.37,3.1,3.2,2.5,2020-21
Man City,Spurs,1.28,5.75,9.5,1.61,2020-21
Brighton,Aston Villa,2.7,3.5,2.5,1.72,2020-21
Southampton,Wolves,2.37,3.2,3.1,2.3,2020-21
West Brom,Man Utd,10.0,5.5,1.3,1.53,2020-21
Arsenal,Leeds,1.83,3.8,4.0,1.57,2020-21
Everton,Fulham,1.85,3.6,4.2,2.0,2020-21
West Ham,Sheffield Utd,1.66,3.75,5.25,2.0,2020-21
Chelsea,Newcastle,1.22,6.5,12.0,1.57,2020-21
Burnley,Fulham,2.75,3.2,2.7,2.3,2020-21
Everton,Man City,8.5,5.5,1.33,1.66,2020-21
Wolves,Leeds,2.37,3.3,3.0,1.9,2020-21
Southampton,Chelsea,5.0,3.8,1.7,1.9,2020-21
Burnley,West Brom,2.0,3.3,4.0,2.2,2020-21
Liverpool,Everton,1.44,4.5,7.0,1.57,2020-21
Fulham,Sheffield Utd,2.15,3.2,3.6,2.3,2020-21
West Ham,Spurs,2.62,3.4,2.7,1.9,2020-21
Aston Villa,Leicester,2.87,3.5,2.4,1.72,2020-21
Arsenal,Man City,6.5,4.33,1.5,1.72,2020-21
Man Utd,Newcastle,1.28,5.5,10.0,1.57,2020-21
Brighton,Crystal Palace,1.7,3.5,5.5,2.2,2020-21
Leeds,Southampton,2.25,3.5,3.1,1.66,2020-21
Man City,West Ham,1.22,6.5,12.0,1.53,2020-21
West Brom,Brighton,4.2,3.3,1.95,2.1,2020-21
Leeds,Aston Villa,2.15,3.6,3.2,1.57,2020-21
Newcastle,Wolves,3.5,3.2,2.2,2.37,2020-21
Crystal Palace,Fulham,3.5,3.2,2.2,2.3,2020-21
Leicester,Arsenal,2.5,3.4,2.8,2.02,2020-21
Spurs,Burnley,1.53,4.0,6.5,1.91,2020-21
Chelsea,Man Utd,2.15,3.4,3.4,1.99,2020-21
Sheffield Utd,Liverpool,8.0,5.0,1.36,1.66,2020-21
Everton,Southampton,2.15,3.5,3.3,2.0,2020-21
Man City,Wolves,1.18,7.0,15.0,1.72,2020-21
Burnley,Leicester,4.0,3.25,2.0,2.1,2020-21
Sheffield Utd,Aston Villa,3.75,3.4,2.05,2.1,2020-21
Crystal Palace,Man Utd,8.0,4.75,1.4,1.72,2020-21
Fulham,Spurs,4.0,3.6,1.9,2.0,2020-21
West Brom,Everton,4.33,3.6,1.83,1.9,2020-21
Liverpool,Chelsea,2.25,3.6,3.0,1.8,2020-21
Burnley,Arsenal,5.5,4.0,1.61,1.97,2020-21
Sheffield Utd,Southampton,3.6,3.5,2.0,2.3,2020-21
Aston Villa,Wolves,2.37,3.25,3.1,2.1,2020-21
Brighton,Leicester,2.55,3.25,2.8,2.2,2020-21
West Brom,Newcastle,2.37,3.2,3.1,2.2,2020-21
Liverpool,Fulham,1.36,5.0,8.5,1.72,2020-21
Man City,Man Utd,1.45,4.5,7.0,1.72,2020-21
Spurs,Crystal Palace,1.45,4.5,7.0,1.9,2020-21
Chelsea,Everton,1.53,4.0,6.5,1.98,2020-21
West Ham,Leeds,2.05,3.6,3.5,1.66,2020-21
Man City,Southampton,1.18,7.5,15.0,1.53,2020-21
Newcastle,Aston Villa,3.8,3.3,2.05,2.3,2020-21
Leeds,Chelsea,4.75,4.0,1.7,1.8,2020-21
Crystal Palace,West Brom,2.15,3.2,3.6,2.37,2020-21
Everton,Burnley,1.83,3.5,4.5,2.1,2020-21
Fulham,Man City,10.0,5.0,1.33,1.8,2020-21
Southampton,Brighton,2.9,3.1,2.5,2.3,2020-21
Leicester,Sheffield Utd,1.5,4.2,6.5,1.9,2020-21
Arsenal,Spurs,2.55,3.4,2.75,1.9,2020-21
Man Utd,West Ham,1.83,3.6,4.33,1.9,2020-21
Wolves,Liverpool,4.75,3.75,1.72,1.9,2020-21
Fulham,Leeds,2.37,3.4,3.0,2.0,2020-21
Brighton,Newcastle,1.66,3.5,6.0,2.3,2020-21
West Ham,Arsenal,2.8,3.5,2.45,1.9,2020-21
Aston Villa,Spurs,2.9,3.3,2.45,1.9,2020-21
Chelsea,West Brom,1.22,6.0,15.0,1.72,2020-21
Leeds,Sheffield Utd,1.5,4.33,6.5,1.8,2020-21
Leicester,Man City,6.0,4.2,1.53,1.9,2020-21
Arsenal,Liverpool,3.1,3.7,2.15,1.72,2020-21
Southampton,Burnley,2.05,3.3,3.8,2.1,2020-21
Newcastle,Spurs,5.5,4.0,1.6,1.9,2020-21
Aston Villa,Fulham,2.25,3.3,3.3,2.2,2020-21
Man Utd,Brighton,1.61,4.0,5.5,1.9,2020-21
Everton,Crystal Palace,1.75,3.5,5.0,2.3,2020-21
Wolves,West Ham,2.87,3.2,2.55,2.5,2020-21
Fulham,Wolves,2.5,3.0,3.1,2.5,2020-21
Man City,Leeds,1.28,5.75,10.0,1.44,2020-21
Liverpool,Aston Villa,1.5,4.33,6.5,1.61,2020-21
Crystal Palace,Chelsea,7.0,3.8,1.53,2.1,2020-21
Burnley,Newcastle,2.3,3.1,3.4,2.5,2020-21
West Ham,Leicester,3.0,3.3,2.37,1.9,2020-21
Spurs,Man Utd,2.87,3.4,2.45,1.9,2020-21
Sheffield Utd,Arsenal,6.5,3.75,1.57,2.0,2020-21
West Brom,Southampton,3.6,3.3,2.1,2.0,2020-21
Brighton,Everton,2.25,3.3,3.3,2.2,2020-21
Everton,Spurs,3.4,3.5,2.1,1.9,2020-21
Newcastle,West Ham,3.5,3.5,2.05,1.9,2020-21
Wolves,Sheffield Utd,1.66,3.5,5.75,2.3,2020-21
Arsenal,Fulham,1.7,3.8,4.8,2.0,2020-21
Man Utd,Burnley,1.33,5.25,9.0,1.72,2020-21
Leeds,Liverpool,4.5,4.33,1.66,1.53,2020-21
Chelsea,Brighton,1.57,4.0,6.0,2.2,2020-21
Spurs,Southampton,1.75,3.8,4.5,1.72,2020-21
Aston Villa,Man City,9.0,4.75,1.36,1.66,2020-21
Leicester,West Brom,1.53,3.8,6.0,1.9,2020-21
Arsenal,Everton,2.0,3.5,3.75,2.0,2020-21
Liverpool,Newcastle,1.22,6.5,12.0,1.53,2020-21
West Ham,Chelsea,4.75,3.6,1.75,2.0,2020-21
Sheffield Utd,Brighton,5.25,3.4,1.75,2.37,2020-21
Wolves,Burnley,2.0,3.4,3.9,2.3,2020-21
Leeds,Man Utd,4.0,4.2,1.75,1.57,2020-21
Aston Villa,West Brom,1.85,3.6,4.2,1.9,2020-21
Leicester,Crystal Palace,1.4,4.33,8.5,2.0,2020-21
Southampton,Leicester,3.8,3.8,1.9,1.9,2020-21
Crystal Palace,Man City,10.0,5.0,1.33,1.72,2020-21
Brighton,Leeds,2.05,3.5,3.5,1.9,2020-21
Chelsea,Fulham,1.44,4.4,7.5,2.0,2020-21
Everton,Aston Villa,1.95,3.6,3.8,1.94,2020-21
Newcastle,Arsenal,3.6,3.6,2.0,1.72,2020-21
Spurs,Sheffield Utd,1.25,6.0,12.0,1.72,2020-21
West Brom,Wolves,2.9,3.2,2.5,2.2,2020-21
Burnley,West Ham,3.1,3.6,2.2,1.9,2020-21
Leicester,Newcastle,1.4,4.75,8.0,1.72,2020-21
Leeds,Spurs,3.4,3.8,2.0,1.66,2020-21
Sheffield Utd,Crystal Palace,3.0,3.2,2.45,2.3,2020-21
Man City,Chelsea,1.9,3.4,4.2,2.2,2020-21
Liverpool,Southampton,1.25,6.0,11.0,1.44,2020-21
Wolves,Brighton,3.3,3.3,2.2,2.3,2020-21
Aston Villa,Man Utd,4.2,3.8,1.8,1.72,2020-21
West Ham,Everton,2.2,3.5,3.2,1.92,2020-21
Arsenal,West Brom,1.44,4.5,7.0,1.72,2020-21
Fulham,Burnley,2.2,3.4,3.3,2.0,2020-21
Man Utd,Leicester,2.5,3.4,2.8,1.9,2020-21
Southampton,Crystal Palace,2.05,3.6,3.5,1.9,2020-21
Chelsea,Arsenal,1.65,4.0,5.0,2.0,2020-21
Aston Villa,Everton,2.7,3.4,2.6,1.86,2020-21
Man Utd,Liverpool,3.0,3.75,2.2,1.72,2020-21
Newcastle,Man City,11.0,6.0,1.25,1.53,2020-21
Burnley,Leeds,3.2,3.75,2.1,1.66,2020-21
Southampton,Fulham,2.0,3.6,3.6,1.9,2020-21
Brighton,West Ham,2.9,3.6,2.3,2.0,2020-21
Crystal Palace,Aston Villa,3.0,3.6,2.25,1.9,2020-21
Spurs,Wolves,1.5,4.33,6.5,1.8,2020-21
West Brom,Liverpool,12.0,6.5,1.22,1.4,2020-21
Everton,Sheffield Utd,1.36,4.75,8.5,1.8,2020-21
Man Utd,Fulham,1.28,6.0,9.0,1.57,2020-21
Southampton,Leeds,2.55,3.9,2.5,1.5,2020-21
Brighton,Man City,7.0,4.5,1.45,1.72,2020-21
Chelsea,Leicester,1.7,3.75,5.0,2.1,2020-21
Everton,Wolves,1.85,3.6,4.2,2.0,2020-21
Newcastle,Sheffield Utd,1.72,3.8,4.75,1.8,2020-21
Spurs,Aston Villa,1.5,4.5,6.0,1.53,2020-21
Crystal Palace,Arsenal,6.0,4.5,1.5,1.72,2020-21
Burnley,Liverpool,11.0,7.0,1.22,1.33,2020-21
West Brom,West Ham,5.0,4.33,1.6,1.57,2020-21
Arsenal,Brighton,1.57,4.33,5.25,1.72,2020-21
Aston Villa,Chelsea,6.5,4.6,1.45,1.66,2020-21
Fulham,Newcastle,2.05,3.8,3.3,1.61,2020-21
Leeds,West Brom,1.4,5.25,6.5,1.4,2020-21
Leicester,Spurs,2.0,4.0,3.3,1.57,2020-21
Liverpool,Crystal Palace,1.14,8.5,15.0,1.36,2020-21
Man City,Everton,1.44,5.0,6.5,1.61,2020-21
Sheffield Utd,Burnley,2.8,3.6,2.4,1.72,2020-21
West Ham,Southampton,1.65,4.0,5.0,1.61,2020-21
Wolves,Man Utd,2.5,3.5,2.7,1.72,2020-21
Brentford,Arsenal,4.0,3.4,1.95,2.1,2021-22
